filename,prediction,confidence
M_0030_16y4m_1_dysfluent_000.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_001.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_002.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_003.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_004.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_005.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_006.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_007.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_008.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_009.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_010.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_011.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_012.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_013.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_014.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_015.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_016.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_017.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_018.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_019.wav,Non-Stutter,1.0
M_0030_16y4m_1_dysfluent_020.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_021.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_022.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_023.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_024.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_025.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_026.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_027.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_028.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_029.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_030.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_031.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_032.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_033.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_034.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_035.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_036.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_037.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_038.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_039.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_040.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_041.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_042.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_043.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_044.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_045.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_046.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_047.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_048.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_049.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_050.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_051.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_052.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_053.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_054.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_055.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_056.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_057.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_058.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_059.wav,Stutter,1.0
M_0030_16y4m_1_dysfluent_060.wav,Stutter,1.0
